,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS,NO. AIRCRAFTS
279,DL,Delta Air Lines Inc.,2020,Y,AIRBUS,A350-941-PSGR,106984,2
280,F9,Frontier Airlines Inc.,2002,Y,AIRBUS,319-112,141100,1
281,F9,Frontier Airlines Inc.,2005,Y,AIRBUS,319-112,141100,2
282,F9,Frontier Airlines Inc.,2006,Y,AIRBUS,319-111,141100,1
283,F9,Frontier Airlines Inc.,2008,Y,AIRBUS,320-114,162000,2
284,F9,Frontier Airlines Inc.,2010,Y,AIRBUS,320-214,162000,3
285,F9,Frontier Airlines Inc.,2011,Y,AIRBUS,320-214,162000,4
286,F9,Frontier Airlines Inc.,2013,Y,AIRBUS,320-214,162000,3
287,F9,Frontier Airlines Inc.,2014,Y,AIRBUS,A320,162000,1
288,F9,Frontier Airlines Inc.,2015,Y,AIRBUS,320-214,162000,2
289,F9,Frontier Airlines Inc.,2015,Y,AIRBUS,321-211,206000,6
290,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,320-211,162000,1
291,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,320-214,162000,4
292,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,320-251,162000,3
293,F9,Frontier Airlines Inc.,2016,Y,AIRBUS,321-211,206000,7
294,F9,Frontier Airlines Inc.,2017,Y,AIRBUS,320-251N,162000,13
295,F9,Frontier Airlines Inc.,2017,Y,AIRBUS,321-211,206000,6
296,F9,Frontier Airlines Inc.,2018,Y,AIRBUS,320-251N,162000,16
297,F9,Frontier Airlines Inc.,2018,Y,AIRBUS,321-211,206000,2
298,F9,Frontier Airlines Inc.,2019,Y,AIRBUS,320-251N,162000,18
299,F9,Frontier Airlines Inc.,2020,Y,AIRBUS,320-251N,162000,9
300,HA,Hawaiian Airlines Inc.,1998,Y,BOEING,B717-200,33213,2
301,HA,Hawaiian Airlines Inc.,2000,Y,BOEING,B717-200,33213,1
302,HA,Hawaiian Airlines Inc.,2001,Y,BOEING,B717-200,33213,11
303,HA,Hawaiian Airlines Inc.,2003,Y,BOEING,B717-200,33213,1
304,HA,Hawaiian Airlines Inc.,2004,Y,BOEING,B717-200,33213,3
305,HA,Hawaiian Airlines Inc.,2005,Y,BOEING,B717-200,33213,1
306,HA,Hawaiian Airlines Inc.,2010,Y,AIRBUS,A330-200,100000,3
307,HA,Hawaiian Airlines Inc.,2011,Y,AIRBUS,A330-200,100000,2
308,HA,Hawaiian Airlines Inc.,2012,Y,AIRBUS,A330-200,100000,4
309,HA,Hawaiian Airlines Inc.,2013,Y,AIRBUS,A330-200,100000,5
310,HA,Hawaiian Airlines Inc.,2014,Y,AIRBUS,A330-200,100000,5
311,HA,Hawaiian Airlines Inc.,2015,Y,AIRBUS,A330-200,100000,3
312,HA,Hawaiian Airlines Inc.,2016,Y,AIRBUS,A330-200,100000,1
313,HA,Hawaiian Airlines Inc.,2017,Y,AIRBUS,A321-200NEO,46700,2
314,HA,Hawaiian Airlines Inc.,2018,Y,AIRBUS,A321-200NEO,46700,10
315,HA,Hawaiian Airlines Inc.,2019,Y,AIRBUS,A321-200NEO,46700,5
316,NK,Spirit Air Lines,2005,Y,AIRBUS,A-319-PSGR,29000,9
317,NK,Spirit Air Lines,2006,Y,AIRBUS,A-319-PSGR,29000,12
318,NK,Spirit Air Lines,2007,Y,AIRBUS,A-319-PSGR,29000,6
319,NK,Spirit Air Lines,2008,Y,AIRBUS,A-319-PSGR,29000,2
320,NK,Spirit Air Lines,2010,Y,AIRBUS,A-319-PSGR,29000,2
321,NK,Spirit Air Lines,2010,Y,AIRBUS,A-320-PSGR,36400,6
322,NK,Spirit Air Lines,2011,Y,AIRBUS,A-320-PSGR,36400,5
323,NK,Spirit Air Lines,2012,Y,AIRBUS,A-320-PSGR,36400,7
324,NK,Spirit Air Lines,2013,Y,AIRBUS,A-320-PSGR,36400,7
325,NK,Spirit Air Lines,2014,Y,AIRBUS,A-320-PSGR,36400,10
326,NK,Spirit Air Lines,2015,Y,AIRBUS,A-320-PSGR,36400,8
327,NK,Spirit Air Lines,2015,Y,AIRBUS,A-321-PSGR,45600,6
328,NK,Spirit Air Lines,2016,Y,AIRBUS,A-320-PSGR,36400,8
329,NK,Spirit Air Lines,2016,Y,AIRBUS,A-321-PSGR,45600,8
330,NK,Spirit Air Lines,2017,Y,AIRBUS,A-320-PSGR,36400,7
331,NK,Spirit Air Lines,2017,Y,AIRBUS,A-321-PSGR,45600,11
332,NK,Spirit Air Lines,2018,Y,AIRBUS,A-320-PSGR,36400,14
333,NK,Spirit Air Lines,2018,Y,AIRBUS,A-321-PSGR,45600,5
334,NK,Spirit Air Lines,2019,Y,AIRBUS,A-320-PSGR,36400,12
335,NK,Spirit Air Lines,2020,Y,AIRBUS,A-320-PSGR,36400,10
336,OO,SkyWest Airlines Inc.,1997,Y,BOMBARDIER,CRJ-200,53000,1
337,OO,SkyWest Airlines Inc.,1998,Y,BOMBARDIER,CRJ-200,53000,1
338,OO,SkyWest Airlines Inc.,1999,Y,BOMBARDIER,CRJ-200,53000,4
339,OO,SkyWest Airlines Inc.,1999,Y,BOMBARDIER,CRJ-700,74957,1
340,OO,SkyWest Airlines Inc.,2000,Y,BOMBARDIER,CRJ-200,53000,14
341,OO,SkyWest Airlines Inc.,2001,Y,BOMBARDIER,CRJ-200,53000,40
342,OO,SkyWest Airlines Inc.,2001,Y,BOMBARDIER,CRJ-700,74957,3
343,OO,SkyWest Airlines Inc.,2002,Y,BOMBARDIER,CRJ-200,53000,44
344,OO,SkyWest Airlines Inc.,2002,Y,BOMBARDIER,CRJ-700,74957,12
345,OO,SkyWest Airlines Inc.,2003,Y,BOMBARDIER,CRJ-200,53000,54
346,OO,SkyWest Airlines Inc.,2003,Y,BOMBARDIER,CRJ-700,74957,10
347,OO,SkyWest Airlines Inc.,2004,Y,BOMBARDIER,CRJ-200,53000,15
348,OO,SkyWest Airlines Inc.,2004,Y,BOMBARDIER,CRJ-700,74957,31
349,OO,SkyWest Airlines Inc.,2005,Y,BOMBARDIER,CRJ-200,53000,6
350,OO,SkyWest Airlines Inc.,2005,Y,BOMBARDIER,CRJ-700,74957,41
351,OO,SkyWest Airlines Inc.,2006,Y,BOMBARDIER,CRJ-700,74957,15
352,OO,SkyWest Airlines Inc.,2006,Y,BOMBARDIER,CRJ-900,75000,15
353,OO,SkyWest Airlines Inc.,2007,Y,BOMBARDIER,CRJ-900,75000,5
354,OO,SkyWest Airlines Inc.,2007,Y,EMBRAER,ERJ-175,84500,4
355,OO,SkyWest Airlines Inc.,2008,Y,BOMBARDIER,CRJ-700,74957,2
356,OO,SkyWest Airlines Inc.,2008,Y,BOMBARDIER,CRJ-900,75000,10
357,OO,SkyWest Airlines Inc.,2008,Y,EMBRAER,ERJ-175,84500,2
358,OO,SkyWest Airlines Inc.,2009,Y,BOMBARDIER,CRJ-700,74957,22
359,OO,SkyWest Airlines Inc.,2009,Y,BOMBARDIER,CRJ-900,75000,1
360,OO,SkyWest Airlines Inc.,2010,Y,BOMBARDIER,CRJ-700,74957,4
361,OO,SkyWest Airlines Inc.,2011,Y,BOMBARDIER,CRJ-700,74957,5
362,OO,SkyWest Airlines Inc.,2014,Y,EMBRAER,ERJ-175,84500,20
363,OO,SkyWest Airlines Inc.,2015,Y,EMBRAER,ERJ-175,84500,25
364,OO,SkyWest Airlines Inc.,2016,Y,EMBRAER,ERJ-175,84500,41
365,OO,SkyWest Airlines Inc.,2017,Y,EMBRAER,ERJ-175,84500,21
366,OO,SkyWest Airlines Inc.,2018,Y,BOMBARDIER,CRJ-900,75000,5
367,OO,SkyWest Airlines Inc.,2018,Y,EMBRAER,ERJ-175,84500,39
368,OO,SkyWest Airlines Inc.,2019,Y,BOMBARDIER,CRJ-900,75000,7
369,OO,SkyWest Airlines Inc.,2019,Y,EMBRAER,ERJ-175,84500,35
370,OO,SkyWest Airlines Inc.,2020,Y,EMBRAER,ERJ-175,84500,6
371,UA,United Air Lines Inc.,1991,Y,BOEING,B767-322ERPAX,407000,4
372,UA,United Air Lines Inc.,1992,Y,BOEING,B767-322ERPAX,407000,9
373,UA,United Air Lines Inc.,1993,Y,AIRBUS,AirbusA320-232,169700,5
374,UA,United Air Lines Inc.,1993,Y,BOEING,B767-322ERPAX,407000,8
375,UA,United Air Lines Inc.,1994,Y,AIRBUS,AirbusA320-232,169700,15
376,UA,United Air Lines Inc.,1994,Y,BOEING,B757-200PAX,255000,11
377,UA,United Air Lines Inc.,1995,Y,AIRBUS,AirbusA320-232,169700,5
378,UA,United Air Lines Inc.,1995,Y,BOEING,B757-200PAX,255000,4
379,UA,United Air Lines Inc.,1995,Y,BOEING,B777-222PAX,545000,7
380,UA,United Air Lines Inc.,1996,Y,AIRBUS,AirbusA320-232,169700,7
381,UA,United Air Lines Inc.,1996,Y,BOEING,B757-200PAX,255000,2
382,UA,United Air Lines Inc.,1996,Y,BOEING,B777-222PAX,545000,6
383,UA,United Air Lines Inc.,1997,Y,AIRBUS,AirbusA319-131,166400,4
384,UA,United Air Lines Inc.,1997,Y,AIRBUS,AirbusA320-232,169700,5
385,UA,United Air Lines Inc.,1997,Y,BOEING,B757-200PAX,255000,5
386,UA,United Air Lines Inc.,1997,Y,BOEING,B777-222BPAX,648000,12
387,UA,United Air Lines Inc.,1998,Y,AIRBUS,AirbusA319-131,166400,19
388,UA,United Air Lines Inc.,1998,Y,AIRBUS,AirbusA320-232,169700,9
389,UA,United Air Lines Inc.,1998,Y,BOEING,B737-700PAX,154500,16
390,UA,United Air Lines Inc.,1998,Y,BOEING,B737-800PAX,174200,17
391,UA,United Air Lines Inc.,1998,Y,BOEING,B757-200PAX,255000,10
392,UA,United Air Lines Inc.,1998,Y,BOEING,B767-322DRPAX,407000,4
393,UA,United Air Lines Inc.,1998,Y,BOEING,B777-222BPAX,648000,9
394,UA,United Air Lines Inc.,1999,Y,AIRBUS,AirbusA319-131,166400,5
395,UA,United Air Lines Inc.,1999,Y,AIRBUS,AirbusA320-232,169700,6
396,UA,United Air Lines Inc.,1999,Y,BOEING,B737-700PAX,154500,22
397,UA,United Air Lines Inc.,1999,Y,BOEING,B737-800PAX,174200,25
398,UA,United Air Lines Inc.,1999,Y,BOEING,B757-200PAX,255000,5
399,UA,United Air Lines Inc.,1999,Y,BOEING,B767-322DRPAX,407000,5
400,UA,United Air Lines Inc.,1999,Y,BOEING,B777-222BPAX,648000,11
401,UA,United Air Lines Inc.,2000,Y,AIRBUS,AirbusA319-131,166400,5
402,UA,United Air Lines Inc.,2000,Y,AIRBUS,AirbusA320-232,169700,11
403,UA,United Air Lines Inc.,2000,Y,BOEING,B737-800PAX,174200,16
404,UA,United Air Lines Inc.,2000,Y,BOEING,B757-200PAX,255000,3
405,UA,United Air Lines Inc.,2000,Y,BOEING,B767-322DRPAX,407000,3
406,UA,United Air Lines Inc.,2000,Y,BOEING,B767-400PAX,450000,4
407,UA,United Air Lines Inc.,2000,Y,BOEING,B777-222BPAX,648000,5
408,UA,United Air Lines Inc.,2000,Y,BOEING,B777-222PAX,545000,6
409,UA,United Air Lines Inc.,2001,Y,AIRBUS,AirbusA319-131,166400,14
410,UA,United Air Lines Inc.,2001,Y,AIRBUS,AirbusA320-232,169700,18
411,UA,United Air Lines Inc.,2001,Y,BOEING,B737-800PAX,174200,15
412,UA,United Air Lines Inc.,2001,Y,BOEING,B737-900PAX,174200,10
413,UA,United Air Lines Inc.,2001,Y,BOEING,B757-300PAX,273000,7
414,UA,United Air Lines Inc.,2001,Y,BOEING,B767-322DRPAX,407000,2
415,UA,United Air Lines Inc.,2001,Y,BOEING,B767-400PAX,450000,2
416,UA,United Air Lines Inc.,2001,Y,BOEING,B777-222BPAX,648000,8
417,UA,United Air Lines Inc.,2002,Y,AIRBUS,AirbusA319-131,166400,8
418,UA,United Air Lines Inc.,2002,Y,AIRBUS,AirbusA320-232,169700,12
419,UA,United Air Lines Inc.,2002,Y,BOEING,B737-700PAX,154500,2
420,UA,United Air Lines Inc.,2002,Y,BOEING,B737-800PAX,174200,4
421,UA,United Air Lines Inc.,2002,Y,BOEING,B737-900PAX,174200,2
422,UA,United Air Lines Inc.,2002,Y,BOEING,B757-300PAX,273000,7
423,UA,United Air Lines Inc.,2002,Y,BOEING,B767-322ERPAX,407000,2
424,UA,United Air Lines Inc.,2002,Y,BOEING,B767-400PAX,450000,10
425,UA,United Air Lines Inc.,2002,Y,BOEING,B777-222BPAX,648000,6
426,UA,United Air Lines Inc.,2003,Y,AIRBUS,AirbusA319-131,166400,1
427,UA,United Air Lines Inc.,2003,Y,BOEING,B737-800PAX,174200,4
428,UA,United Air Lines Inc.,2003,Y,BOEING,B757-300PAX,273000,2
429,UA,United Air Lines Inc.,2003,Y,BOEING,B767-322ERPAX,407000,1
430,UA,United Air Lines Inc.,2004,Y,AIRBUS,AirbusA319-131,166400,3
431,UA,United Air Lines Inc.,2004,Y,BOEING,B737-800PAX,174200,11
432,UA,United Air Lines Inc.,2004,Y,BOEING,B757-300PAX,273000,5
433,UA,United Air Lines Inc.,2005,Y,AIRBUS,AirbusA319-131,166400,3
434,UA,United Air Lines Inc.,2005,Y,BOEING,B737-800PAX,174200,7
435,UA,United Air Lines Inc.,2006,Y,AIRBUS,AirbusA319-131,166400,6
436,UA,United Air Lines Inc.,2006,Y,AIRBUS,AirbusA320-232,169700,2
437,UA,United Air Lines Inc.,2006,Y,BOEING,B737-800PAX,174200,6
438,UA,United Air Lines Inc.,2007,Y,AIRBUS,AirbusA319-131,166400,6
439,UA,United Air Lines Inc.,2007,Y,BOEING,B777-222BPAX,648000,2
440,UA,United Air Lines Inc.,2008,Y,BOEING,B737-800PAX,174200,12
441,UA,United Air Lines Inc.,2008,Y,BOEING,B737-900ER,187700,17
442,UA,United Air Lines Inc.,2009,Y,BOEING,B737-900ER,187700,13
443,UA,United Air Lines Inc.,2010,Y,BOEING,B737-800PAX,174200,11
444,UA,United Air Lines Inc.,2010,Y,BOEING,B737-900ER,187700,2
445,UA,United Air Lines Inc.,2010,Y,BOEING,B777-222BPAX,648000,2
446,UA,United Air Lines Inc.,2011,Y,BOEING,B737-800PAX,174200,2
447,UA,United Air Lines Inc.,2011,Y,BOEING,B737-900ER,187700,1
448,UA,United Air Lines Inc.,2012,Y,BOEING,B737-900ER,187700,19
449,UA,United Air Lines Inc.,2012,Y,BOEING,B787-800PAX,502000,6
450,UA,United Air Lines Inc.,2013,Y,BOEING,B737-900ER,187700,24
451,UA,United Air Lines Inc.,2013,Y,BOEING,B787-800PAX,502000,2
452,UA,United Air Lines Inc.,2014,Y,BOEING,B737-900ER,187700,29
453,UA,United Air Lines Inc.,2014,Y,BOEING,B787-800PAX,502000,4
454,UA,United Air Lines Inc.,2014,Y,BOEING,B787-900PAX,502000,2
455,UA,United Air Lines Inc.,2015,Y,BOEING,B737-900ER,187700,23
456,UA,United Air Lines Inc.,2015,Y,BOEING,B787-900PAX,502000,11
457,UA,United Air Lines Inc.,2016,Y,BOEING,B737-800PAX,174200,7
458,UA,United Air Lines Inc.,2016,Y,BOEING,B737-900ER,187700,8
459,UA,United Air Lines Inc.,2016,Y,BOEING,B777-300ERPAX,656000,2
460,UA,United Air Lines Inc.,2016,Y,BOEING,B787-900PAX,502000,6
461,UA,United Air Lines Inc.,2017,Y,BOEING,B737-800PAX,174200,4
462,UA,United Air Lines Inc.,2017,Y,BOEING,B777-300ERPAX,656000,12
463,UA,United Air Lines Inc.,2017,Y,BOEING,B787-10PAX,502000,1
464,UA,United Air Lines Inc.,2017,Y,BOEING,B787-900PAX,502000,3
465,UA,United Air Lines Inc.,2018,Y,BOEING,B737-Max9PAX,194700,10
466,UA,United Air Lines Inc.,2018,Y,BOEING,B777-300ERPAX,656000,4
467,UA,United Air Lines Inc.,2018,Y,BOEING,B787-10PAX,502000,3
468,UA,United Air Lines Inc.,2018,Y,BOEING,B787-900PAX,502000,3
469,UA,United Air Lines Inc.,2019,Y,BOEING,B737-Max9PAX,194700,3
470,UA,United Air Lines Inc.,2019,Y,BOEING,B777-300ERPAX,656000,2
471,UA,United Air Lines Inc.,2019,Y,BOEING,B787-10PAX,502000,7
472,UA,United Air Lines Inc.,2020,Y,BOEING,B777-300ERPAX,656000,2
473,UA,United Air Lines Inc.,2020,Y,BOEING,B787-10PAX,502000,2
474,UA,United Air Lines Inc.,2020,Y,BOEING,B787-900PAX,502000,10
475,WN,Southwest Airlines Co.,1998,Y,BOEING,B-737-705,36200,1
476,WN,Southwest Airlines Co.,1998,Y,BOEING,B-737-7AD,36200,1
477,WN,Southwest Airlines Co.,1998,Y,BOEING,B-737-7H4,36200,12
478,WN,Southwest Airlines Co.,1998,Y,BOEING,B-737-7Q8,36200,1
479,WN,Southwest Airlines Co.,1999,Y,BOEING,B-737-76N,36200,1
480,WN,Southwest Airlines Co.,1999,Y,BOEING,B-737-7H4,34100,1
481,WN,Southwest Airlines Co.,1999,Y,BOEING,B-737-7H4,36200,27
482,WN,Southwest Airlines Co.,1999,Y,BOEING,B-737-7L9,36200,3
483,WN,Southwest Airlines Co.,2000,Y,BOEING,B-737-73V,36200,3
484,WN,Southwest Airlines Co.,2000,Y,BOEING,B-737-790,36200,3
485,WN,Southwest Airlines Co.,2000,Y,BOEING,B-737-7H4,36200,23
486,WN,Southwest Airlines Co.,2000,Y,BOEING,B-737-7L9,36200,1
487,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-73V,36200,1
488,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-76N,36200,5
489,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-76Q,34100,4
490,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-7BK,36200,1
491,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-7H4,36200,25
492,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-7K9,36200,2
493,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-7L9,36200,1
494,WN,Southwest Airlines Co.,2001,Y,BOEING,B-737-7Q8,36200,6
495,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-73V,36200,3
496,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-752,36200,1
497,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-76N,36200,1
498,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-76Q,36200,1
499,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-79P,36200,1
500,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-7BX,36200,2
501,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-7CT,36200,4
502,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-7H4,36200,10
503,WN,Southwest Airlines Co.,2002,Y,BOEING,B-737-7Q8,36200,6
504,WN,Southwest Airlines Co.,2003,Y,BOEING,B-737-73V,36200,1
505,WN,Southwest Airlines Co.,2003,Y,BOEING,B-737-752,36200,1
506,WN,Southwest Airlines Co.,2003,Y,BOEING,B-737-76Q,36200,1
507,WN,Southwest Airlines Co.,2003,Y,BOEING,B-737-79P,36200,4
508,WN,Southwest Airlines Co.,2003,Y,BOEING,B-737-7CT,36200,6
509,WN,Southwest Airlines Co.,2003,Y,BOEING,B-737-7H4,36200,18
510,WN,Southwest Airlines Co.,2004,Y,BOEING,B-737-752,36200,1
511,WN,Southwest Airlines Co.,2004,Y,BOEING,B-737-7BD,36200,2
512,WN,Southwest Airlines Co.,2004,Y,BOEING,B-737-7H4,36200,48
513,WN,Southwest Airlines Co.,2004,Y,BOEING,B-737-7Q8,36200,4
514,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-752,36200,3
515,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-76N,36200,4
516,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-79L,36200,1
517,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-79P,36200,6
518,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-7BD,36200,2
519,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-7H4,36200,32
520,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-7K9,36200,2
521,WN,Southwest Airlines Co.,2005,Y,BOEING,B-737-7Q8,36200,1
522,WN,Southwest Airlines Co.,2006,Y,BOEING,B-737-71B,36200,4
523,WN,Southwest Airlines Co.,2006,Y,BOEING,B-737-752,36200,1
524,WN,Southwest Airlines Co.,2006,Y,BOEING,B-737-76N,36200,7
525,WN,Southwest Airlines Co.,2006,Y,BOEING,B-737-79P,36200,1
526,WN,Southwest Airlines Co.,2006,Y,BOEING,B-737-7BD,36200,12
527,WN,Southwest Airlines Co.,2006,Y,BOEING,B-737-7H4,36200,33
528,WN,Southwest Airlines Co.,2007,Y,BOEING,B-737-700,36200,1
529,WN,Southwest Airlines Co.,2007,Y,BOEING,B-737-752,36200,2
530,WN,Southwest Airlines Co.,2007,Y,BOEING,B-737-76N,36200,1
531,WN,Southwest Airlines Co.,2007,Y,BOEING,B-737-7BD,36200,8
532,WN,Southwest Airlines Co.,2007,Y,BOEING,B-737-7H4,36200,38
533,WN,Southwest Airlines Co.,2007,Y,BOEING,B-737-7K5,36200,1
534,WN,Southwest Airlines Co.,2007,Y,BOEING,B-737-7Q8,36200,1
535,WN,Southwest Airlines Co.,2008,Y,BOEING,B-737-7BD,36200,4
536,WN,Southwest Airlines Co.,2008,Y,BOEING,B-737-7CT,36200,1
537,WN,Southwest Airlines Co.,2008,Y,BOEING,B-737-7H4,36200,23
538,WN,Southwest Airlines Co.,2009,Y,BOEING,B-737-7BD,36200,2
539,WN,Southwest Airlines Co.,2009,Y,BOEING,B-737-7H4,36200,13
540,WN,Southwest Airlines Co.,2010,Y,BOEING,B-737-7H4,36200,11
541,WN,Southwest Airlines Co.,2011,Y,BOEING,B-737-7BD,36200,2
542,WN,Southwest Airlines Co.,2011,Y,BOEING,B-737-7H4,36200,16
543,WN,Southwest Airlines Co.,2012,Y,BOEING,B-737-8H4,43800,34
544,WN,Southwest Airlines Co.,2013,Y,BOEING,B-737-8H4,43800,18
545,WN,Southwest Airlines Co.,2014,Y,BOEING,B-737-8H4,43800,33
546,WN,Southwest Airlines Co.,2015,Y,BOEING,B-737-8,48421,1
547,WN,Southwest Airlines Co.,2015,Y,BOEING,B-737-8H4,43800,19
548,WN,Southwest Airlines Co.,2016,Y,BOEING,B-737-8,48421,1
549,WN,Southwest Airlines Co.,2016,Y,BOEING,B-737-8H4,43800,38
550,WN,Southwest Airlines Co.,2017,Y,BOEING,B-737-8,48421,12
551,WN,Southwest Airlines Co.,2017,Y,BOEING,B-737-8H4,43800,39
552,WN,Southwest Airlines Co.,2018,Y,BOEING,B-737-8,48421,17
553,WN,Southwest Airlines Co.,2018,Y,BOEING,B-737-8H4,43800,26
554,WN,Southwest Airlines Co.,2019,Y,BOEING,B-737-8,48421,3
555,WN,Southwest Airlines Co.,2020,Y,BOEING,B-737-8,48421,7
