IATA Code,Airline Name,Year,Month,Month Number,Quarter,Total Fuel Consumed (thousands of gallons),Total Cost of Fuel (dollars),Cost per Gallon (dollars),CO2 Emissions (Thousands of Gallons)
AS,Alaska Airlines,2010,January,1,1,"24,643","52,404",2.13,77625.45
AS,Alaska Airlines,2010,February,2,1,"21,984","44,874",2.04,69249.6
AS,Alaska Airlines,2010,March,3,1,"25,472","54,353",2.13,80236.8
AS,Alaska Airlines,2010,April,4,2,"24,820","55,864",2.25,78183
AS,Alaska Airlines,2010,May,5,2,"26,440","59,071",2.23,83286
AS,Alaska Airlines,2010,June,6,2,"28,067","60,222",2.15,88411.05
AS,Alaska Airlines,2010,July,7,3,"29,768","64,424",2.16,93769.2
AS,Alaska Airlines,2010,August,8,3,"29,450","64,212",2.18,92767.5
AS,Alaska Airlines,2010,September,9,3,"26,026","56,592",2.17,81981.9
AS,Alaska Airlines,2010,October,10,4,"26,975","62,344",2.31,84971.25
AS,Alaska Airlines,2010,November,11,4,"26,748","64,255",2.4,84256.2
AS,Alaska Airlines,2010,December,12,4,"28,304","70,794",2.5,89157.6
AS,Alaska Airlines,2011,January,1,1,"27,771","84,358",3.04,87478.65
AS,Alaska Airlines,2011,February,2,1,"25,779","82,654",3.21,81203.85
AS,Alaska Airlines,2011,March,3,1,"29,371","104,489",3.56,92518.65
AS,Alaska Airlines,2011,April,4,2,"28,572","108,048",3.78,90001.8
AS,Alaska Airlines,2011,May,5,2,"28,494","105,784",3.71,89756.1
AS,Alaska Airlines,2011,June,6,2,"29,970","106,943",3.57,94405.5
AS,Alaska Airlines,2011,July,7,3,"31,319","108,944",3.48,98654.85
AS,Alaska Airlines,2011,August,8,3,"31,165","106,238",3.41,98169.75
AS,Alaska Airlines,2011,September,9,3,"27,906","95,958",3.44,87903.9
AS,Alaska Airlines,2011,October,10,4,"28,231","95,632",3.39,88927.65
AS,Alaska Airlines,2011,November,11,4,"28,078","98,930",3.52,88445.7
AS,Alaska Airlines,2011,December,12,4,"29,176","99,196",3.4,91904.4
AS,Alaska Airlines,2012,January,1,1,"28,549","98,530",3.45,89929.35
AS,Alaska Airlines,2012,February,2,1,"27,214","97,310",3.58,85724.1
AS,Alaska Airlines,2012,March,3,1,"30,552","115,140",3.77,96238.8
AS,Alaska Airlines,2012,April,4,2,"29,654","110,410",3.72,93410.1
AS,Alaska Airlines,2012,May,5,2,"30,950","109,454",3.54,97492.5
AS,Alaska Airlines,2012,June,6,2,"32,479","103,003",3.17,102308.85
AS,Alaska Airlines,2012,July,7,3,"33,664","106,575",3.17,106041.6
AS,Alaska Airlines,2012,August,8,3,"33,268","114,720",3.45,104794.2
AS,Alaska Airlines,2012,September,9,3,"29,291","107,955",3.69,92266.65
AS,Alaska Airlines,2012,October,10,4,"29,853","109,510",3.67,94036.95
AS,Alaska Airlines,2012,November,11,4,"30,066","104,977",3.49,94707.9
AS,Alaska Airlines,2012,December,12,4,"31,584","108,043",3.42,99489.6
AS,Alaska Airlines,2013,January,1,1,"31,438","109,042",3.47,99029.7
AS,Alaska Airlines,2013,February,2,1,"28,273","104,151",3.68,89059.95
AS,Alaska Airlines,2013,March,3,1,"33,116","115,600",3.49,104315.4
AS,Alaska Airlines,2013,April,4,2,"32,206","107,204",3.33,101448.9
AS,Alaska Airlines,2013,May,5,2,"32,759","103,334",3.15,103190.85
AS,Alaska Airlines,2013,June,6,2,"34,783","108,918",3.13,109566.45
AS,Alaska Airlines,2013,July,7,3,"36,661","117,999",3.22,115482.15
AS,Alaska Airlines,2013,August,8,3,"36,139","119,744",3.31,113837.85
AS,Alaska Airlines,2013,September,9,3,"30,844","105,299",3.41,97158.6
AS,Alaska Airlines,2013,October,10,4,"30,991","103,018",3.32,97621.65
AS,Alaska Airlines,2013,November,11,4,"31,780","103,479",3.26,100107
AS,Alaska Airlines,2013,December,12,4,"32,874","111,433",3.39,103553.1
AS,Alaska Airlines,2014,January,1,1,"32,149","108,244",3.37,101269.35
AS,Alaska Airlines,2014,February,2,1,"29,250","98,142",3.36,92137.5
AS,Alaska Airlines,2014,March,3,1,"34,142","111,226",3.26,107547.3
AS,Alaska Airlines,2014,April,4,2,"32,648","106,516",3.26,102841.2
AS,Alaska Airlines,2014,May,5,2,"33,172","111,868",3.37,104491.8
AS,Alaska Airlines,2014,June,6,2,"35,451","118,576",3.34,111670.65
AS,Alaska Airlines,2014,July,7,3,"37,515","123,594",3.29,118172.25
AS,Alaska Airlines,2014,August,8,3,"37,274","122,210",3.28,117413.1
AS,Alaska Airlines,2014,September,9,3,"32,504","103,876",3.2,102387.6
AS,Alaska Airlines,2014,October,10,4,"32,910","97,422",2.96,103666.5
AS,Alaska Airlines,2014,November,11,4,"33,536","93,215",2.78,105638.4
AS,Alaska Airlines,2014,December,12,4,"35,780","85,652",2.39,112707
AS,Alaska Airlines,2015,January,1,1,"34,229","67,839",1.98,107821.35
AS,Alaska Airlines,2015,February,2,1,"31,135","60,952",1.96,98075.25
AS,Alaska Airlines,2015,March,3,1,"37,472","75,297",2.01,118036.8
AS,Alaska Airlines,2015,April,4,2,"35,804","70,357",1.97,112782.6
AS,Alaska Airlines,2015,May,5,2,"36,345","82,137",2.26,114486.75
AS,Alaska Airlines,2015,June,6,2,"37,317","81,527",2.18,117548.55
AS,Alaska Airlines,2015,July,7,3,"39,014","77,909",2,122894.1
AS,Alaska Airlines,2015,August,8,3,"39,145","69,240",1.77,123306.75
AS,Alaska Airlines,2015,September,9,3,"34,833","58,512",1.68,109723.95
AS,Alaska Airlines,2015,October,10,4,"36,362","61,172",1.68,114540.3
AS,Alaska Airlines,2015,November,11,4,"37,268","66,082",1.77,117394.2
AS,Alaska Airlines,2015,December,12,4,"39,148","57,422",1.47,123316.2
AS,Alaska Airlines,2016,January,1,1,"37,578","47,052",1.25,118370.7
AS,Alaska Airlines,2016,February,2,1,"35,463","42,099",1.19,111708.45
AS,Alaska Airlines,2016,March,3,1,"39,525","50,265",1.27,124503.75
AS,Alaska Airlines,2016,April,4,2,"38,495","51,662",1.34,121259.25
AS,Alaska Airlines,2016,May,5,2,"39,060","57,642",1.48,123039
AS,Alaska Airlines,2016,June,6,2,"40,232","65,484",1.63,126730.8
AS,Alaska Airlines,2016,July,7,3,"41,608","66,055",1.59,131065.2
AS,Alaska Airlines,2016,August,8,3,"41,966","62,279",1.48,132192.9
AS,Alaska Airlines,2016,September,9,3,"35,596","55,265",1.55,112127.4
AS,Alaska Airlines,2016,October,10,4,"36,349","60,204",1.66,114499.35
AS,Alaska Airlines,2016,November,11,4,"37,442","60,821",1.62,117942.3
AS,Alaska Airlines,2016,December,12,4,"40,013","67,976",1.7,126040.95
AS,Alaska Airlines,2017,January,1,1,"39,799","69,749",1.75,125366.85
AS,Alaska Airlines,2017,February,2,1,"35,717","63,944",1.79,112508.55
AS,Alaska Airlines,2017,March,3,1,"42,461","74,846",1.76,133752.15
AS,Alaska Airlines,2017,April,4,2,"41,346","73,135",1.77,130239.9
AS,Alaska Airlines,2017,May,5,2,"42,395","71,155",1.68,133544.25
AS,Alaska Airlines,2017,June,6,2,"43,388","70,910",1.63,136672.2
AS,Alaska Airlines,2017,July,7,3,"45,045","74,745",1.66,141891.75
AS,Alaska Airlines,2017,August,8,3,"44,611","79,305",1.78,140524.65
AS,Alaska Airlines,2017,September,9,3,"39,285","76,548",1.95,123747.75
AS,Alaska Airlines,2017,October,10,4,"40,380","77,879",1.93,127197
AS,Alaska Airlines,2017,November,11,4,"40,418","81,650",2.02,127316.7
AS,Alaska Airlines,2017,December,12,4,"43,090","88,828",2.06,135733.5
AS,Alaska Airlines,2018,January,1,1,"57,967","124,581",2.15,182596.05
AS,Alaska Airlines,2018,February,2,1,"53,154","113,155",2.13,167435.1
AS,Alaska Airlines,2018,March,3,1,"61,049","129,356",2.12,192304.35
AS,Alaska Airlines,2018,April,4,2,"60,703","135,968",2.24,191214.45
AS,Alaska Airlines,2018,May,5,2,"63,048","150,704",2.39,198601.2
AS,Alaska Airlines,2018,June,6,2,"64,146","152,122",2.37,202059.9
AS,Alaska Airlines,2018,July,7,3,"66,556","156,863",2.36,209651.4
AS,Alaska Airlines,2018,August,8,3,"65,146","153,987",2.36,205209.9
AS,Alaska Airlines,2018,September,9,3,"58,678","125,222",2.13,184835.7
AS,Alaska Airlines,2018,October,10,4,"59,448","151,177",2.54,187261.2
AS,Alaska Airlines,2018,November,11,4,"58,034","141,766",2.44,182807.1
AS,Alaska Airlines,2018,December,12,4,"59,598","127,256",2.14,187733.7
AS,Alaska Airlines,2019,January,1,1,"57,004","117,146",2.06,179562.6
AS,Alaska Airlines,2019,February,2,1,"51,241","110,282",2.15,161409.15
AS,Alaska Airlines,2019,March,3,1,"60,549","134,509",2.22,190729.35
AS,Alaska Airlines,2019,April,4,2,"59,666","137,085",2.3,187947.9
AS,Alaska Airlines,2019,May,5,2,"62,738","151,391",2.41,197624.7
AS,Alaska Airlines,2019,June,6,2,"64,492","137,488",2.13,203149.8
AS,Alaska Airlines,2019,July,7,3,"67,562","146,694",2.17,212820.3
AS,Alaska Airlines,2019,August,8,3,"66,517","139,172",2.09,209528.55
AS,Alaska Airlines,2019,September,9,3,"58,678","125,651",2.14,184835.7
AS,Alaska Airlines,2019,October,10,4,"60,317","131,739",2.18,189998.55
AS,Alaska Airlines,2019,November,11,4,"58,625","132,691",2.26,184668.75
AS,Alaska Airlines,2019,December,12,4,"62,580","140,166",2.24,197127
AA,American Airlines,2010,January,1,1,"205,863","458,325",2.23,648468.45
AA,American Airlines,2010,February,2,1,"181,948","387,850",2.13,573136.2
AA,American Airlines,2010,March,3,1,"209,637","453,740",2.16,660356.55
AA,American Airlines,2010,April,4,2,"199,695","461,076",2.31,629039.25
AA,American Airlines,2010,May,5,2,"216,604","502,741",2.32,682302.6
AA,American Airlines,2010,June,6,2,"212,808","468,629",2.2,670345.2
AA,American Airlines,2010,July,7,3,"224,176","484,993",2.16,706154.4
AA,American Airlines,2010,August,8,3,"217,974","469,746",2.16,686618.1
AA,American Airlines,2010,September,9,3,"202,298","430,058",2.13,637238.7
AA,American Airlines,2010,October,10,4,"206,939","473,080",2.29,651857.85
AA,American Airlines,2010,November,11,4,"197,170","461,743",2.34,621085.5
AA,American Airlines,2010,December,12,4,"204,838","494,025",2.41,645239.7
AA,American Airlines,2011,January,1,1,"205,275","523,656",2.55,646616.25
AA,American Airlines,2011,February,2,1,"181,778","476,603",2.62,572600.7
AA,American Airlines,2011,March,3,1,"208,857","587,609",2.81,657899.55
AA,American Airlines,2011,April,4,2,"205,247","617,436",3.01,646528.05
AA,American Airlines,2011,May,5,2,"209,679","651,076",3.11,660488.85
AA,American Airlines,2011,June,6,2,"211,310","624,399",2.95,665626.5
AA,American Airlines,2011,July,7,3,"221,327","664,682",3,697180.05
AA,American Airlines,2011,August,8,3,"213,198","646,420",3.03,671573.7
AA,American Airlines,2011,September,9,3,"199,086","632,790",3.18,627120.9
AA,American Airlines,2011,October,10,4,"202,063","559,650",2.77,636498.45
AA,American Airlines,2011,November,11,4,"186,189","561,003",3.01,586495.35
AA,American Airlines,2011,December,12,4,"197,745","597,859",3.02,622896.75
AA,American Airlines,2012,January,1,1,"197,968","601,034",3.04,623599.2
AA,American Airlines,2012,February,2,1,"187,986","589,873",3.14,592155.9
AA,American Airlines,2012,March,3,1,"205,582","671,744",3.27,647583.3
AA,American Airlines,2012,April,4,2,"193,929","643,439",3.32,610876.35
AA,American Airlines,2012,May,5,2,"205,531","661,050",3.22,647422.65
AA,American Airlines,2012,June,6,2,"203,670","595,645",2.92,641560.5
AA,American Airlines,2012,July,7,3,"215,238","619,477",2.88,677999.7
AA,American Airlines,2012,August,8,3,"210,077","626,495",2.98,661742.55
AA,American Airlines,2012,September,9,3,"192,138","633,499",3.3,605234.7
AA,American Airlines,2012,October,10,4,"196,849","633,581",3.22,620074.35
AA,American Airlines,2012,November,11,4,"191,059","593,057",3.1,601835.85
AA,American Airlines,2012,December,12,4,"205,567","627,258",3.05,647536.05
AA,American Airlines,2013,January,1,1,"201,399","634,580",3.15,634406.85
AA,American Airlines,2013,February,2,1,"182,666","589,434",3.23,575397.9
AA,American Airlines,2013,March,3,1,"207,138","652,680",3.15,652484.7
AA,American Airlines,2013,April,4,2,"199,329","616,212",3.09,627886.35
AA,American Airlines,2013,May,5,2,"209,547","600,266",2.86,660073.05
AA,American Airlines,2013,June,6,2,"213,247","605,792",2.84,671728.05
AA,American Airlines,2013,July,7,3,"223,795","626,843",2.8,704954.25
AA,American Airlines,2013,August,8,3,"220,803","660,989",2.99,695529.45
AA,American Airlines,2013,September,9,3,"196,749","602,925",3.06,619759.35
AA,American Airlines,2013,October,10,4,"204,918","616,594",3.01,645491.7
AA,American Airlines,2013,November,11,4,"193,729","568,622",2.94,610246.35
AA,American Airlines,2013,December,12,4,"206,317","626,337",3.04,649898.55
AA,American Airlines,2014,January,1,1,"206,077","634,441",3.08,649142.55
AA,American Airlines,2014,February,2,1,"183,652","550,425",3,578503.8
AA,American Airlines,2014,March,3,1,"209,855","632,569",3.01,661043.25
AA,American Airlines,2014,April,4,2,"200,508","599,505",2.99,631600.2
AA,American Airlines,2014,May,5,2,"208,808","610,292",2.92,657745.2
AA,American Airlines,2014,June,6,2,"215,103","635,853",2.96,677574.45
AA,American Airlines,2014,July,7,3,"224,811","659,161",2.93,708154.65
AA,American Airlines,2014,August,8,3,"216,675","619,055",2.86,682526.25
AA,American Airlines,2014,September,9,3,"196,109","558,857",2.85,617743.35
AA,American Airlines,2014,October,10,4,"204,483","543,061",2.66,644121.45
AA,American Airlines,2014,November,11,4,"194,081","481,077",2.48,611355.15
AA,American Airlines,2014,December,12,4,"208,753","454,399",2.18,657571.95
AA,American Airlines,2015,January,1,1,"199,656","350,512",1.76,628916.4
AA,American Airlines,2015,February,2,1,"176,675","309,315",1.75,556526.25
AA,American Airlines,2015,March,3,1,"206,367","368,713",1.79,650056.05
AA,American Airlines,2015,April,4,2,"202,910","351,742",1.73,639166.5
AA,American Airlines,2015,May,5,2,"211,741","395,983",1.87,666984.15
AA,American Airlines,2015,June,6,2,"213,706","398,452",1.86,673173.9
AA,American Airlines,2015,July,7,3,"334,042","579,161",1.73,1052232.3
AA,American Airlines,2015,August,8,3,"326,156","517,492",1.59,1027391.4
AA,American Airlines,2015,September,9,3,"291,893","432,280",1.48,919462.95
AA,American Airlines,2015,October,10,4,"297,945","440,296",1.48,938526.75
AA,American Airlines,2015,November,11,4,"276,280","400,648",1.45,870282
AA,American Airlines,2015,December,12,4,"298,364","397,724",1.33,939846.6
AA,American Airlines,2016,January,1,1,"281,939","316,442",1.12,888107.85
AA,American Airlines,2016,February,2,1,"266,274","280,796",1.05,838763.1
AA,American Airlines,2016,March,3,1,"296,928","331,434",1.12,935323.2
AA,American Airlines,2016,April,4,2,"291,401","349,915",1.2,917913.15
AA,American Airlines,2016,May,5,2,"312,423","406,837",1.3,984132.45
AA,American Airlines,2016,June,6,2,"324,386","459,147",1.42,1021815.9
AA,American Airlines,2016,July,7,3,"337,688","476,110",1.41,1063717.2
AA,American Airlines,2016,August,8,3,"325,383","436,353",1.34,1024956.45
AA,American Airlines,2016,September,9,3,"287,183","398,242",1.39,904626.45
AA,American Airlines,2016,October,10,4,"292,210","421,665",1.44,920461.5
AA,American Airlines,2016,November,11,4,"268,279","390,678",1.46,845078.85
AA,American Airlines,2016,December,12,4,"294,200","444,100",1.51,926730
AA,American Airlines,2017,January,1,1,"280,608","439,361",1.57,883915.2
AA,American Airlines,2017,February,2,1,"251,239","404,587",1.61,791402.85
AA,American Airlines,2017,March,3,1,"297,276","469,284",1.58,936419.4
AA,American Airlines,2017,April,4,2,"292,610","461,630",1.58,921721.5
AA,American Airlines,2017,May,5,2,"315,974","482,107",1.53,995318.1
AA,American Airlines,2017,June,6,2,"322,973","466,440",1.44,1017364.95
AA,American Airlines,2017,July,7,3,"337,620","491,298",1.46,1063503
AA,American Airlines,2017,August,8,3,"330,635","518,310",1.57,1041500.25
AA,American Airlines,2017,September,9,3,"275,705","471,586",1.71,868470.75
AA,American Airlines,2017,October,10,4,"299,679","521,436",1.74,943988.85
AA,American Airlines,2017,November,11,4,"267,580","477,839",1.79,842877
AA,American Airlines,2017,December,12,4,"296,008","549,826",1.86,932425.2
AA,American Airlines,2018,January,1,1,"283,037","558,826",1.97,891566.55
AA,American Airlines,2018,February,2,1,"261,261","520,561",1.99,822972.15
AA,American Airlines,2018,March,3,1,"297,835","581,609",1.95,938180.25
AA,American Airlines,2018,April,4,2,"297,054","597,283",2.01,935720.1
AA,American Airlines,2018,May,5,2,"318,071","686,209",2.16,1001923.65
AA,American Airlines,2018,June,6,2,"326,665","714,233",2.19,1028994.75
AA,American Airlines,2018,July,7,3,"340,179","733,757",2.16,1071563.85
AA,American Airlines,2018,August,8,3,"334,372","723,020",2.16,1053271.8
AA,American Airlines,2018,September,9,3,"301,694","665,126",2.2,950336.1
AA,American Airlines,2018,October,10,4,"309,097","707,578",2.29,973655.55
AA,American Airlines,2018,November,11,4,"274,594","597,162",2.17,864971.1
AA,American Airlines,2018,December,12,4,"291,022","559,768",1.92,916719.3
AA,American Airlines,2019,January,1,1,"285,909","526,758",1.84,900613.35
AA,American Airlines,2019,February,2,1,"263,721","505,879",1.92,830721.15
AA,American Airlines,2019,March,3,1,"301,174","594,195",1.97,948698.1
AA,American Airlines,2019,April,4,2,"290,512","588,968",2.03,915112.8
AA,American Airlines,2019,May,5,2,"319,379","659,417",2.06,1006043.85
AA,American Airlines,2019,June,6,2,"327,022","635,910",1.94,1030119.3
AA,American Airlines,2019,July,7,3,"338,192","657,729",1.94,1065304.8
AA,American Airlines,2019,August,8,3,"337,676","645,386",1.91,1063679.4
AA,American Airlines,2019,September,9,3,"303,236","581,043",1.92,955193.4
AA,American Airlines,2019,October,10,4,"308,305","594,190",1.93,971160.75
AA,American Airlines,2019,November,11,4,"281,097","541,216",1.93,885455.55
AA,American Airlines,2019,December,12,4,"303,666","589,290",1.94,956547.9
DL,Delta Air Lines,2010,January,1,1,"233,552","510,625",2.19,735688.8
DL,Delta Air Lines,2010,February,2,1,"210,858","476,442",2.26,664202.7
DL,Delta Air Lines,2010,March,3,1,"248,486","552,845",2.22,782730.9
DL,Delta Air Lines,2010,April,4,2,"236,572","547,579",2.31,745201.8
DL,Delta Air Lines,2010,May,5,2,"259,529","608,059",2.34,817516.35
DL,Delta Air Lines,2010,June,6,2,"282,618","646,506",2.29,890246.7
DL,Delta Air Lines,2010,July,7,3,"298,024","684,458",2.3,938775.6
DL,Delta Air Lines,2010,August,8,3,"293,799","671,891",2.29,925466.85
DL,Delta Air Lines,2010,September,9,3,"260,327","592,269",2.28,820030.05
DL,Delta Air Lines,2010,October,10,4,"262,845","626,756",2.38,827961.75
DL,Delta Air Lines,2010,November,11,4,"240,632","594,303",2.47,757990.8
DL,Delta Air Lines,2010,December,12,4,"249,743","628,541",2.52,786690.45
DL,Delta Air Lines,2011,January,1,1,"246,956","656,934",2.66,777911.4
DL,Delta Air Lines,2011,February,2,1,"224,327","641,699",2.86,706630.05
DL,Delta Air Lines,2011,March,3,1,"266,496","778,263",2.92,839462.4
DL,Delta Air Lines,2011,April,4,2,"254,589","819,265",3.22,801955.35
DL,Delta Air Lines,2011,May,5,2,"264,262","861,330",3.26,832425.3
DL,Delta Air Lines,2011,June,6,2,"285,281","877,428",3.08,898635.15
DL,Delta Air Lines,2011,July,7,3,"304,300","934,688",3.07,958545
DL,Delta Air Lines,2011,August,8,3,"292,674","890,462",3.04,921923.1
DL,Delta Air Lines,2011,September,9,3,"252,886","766,612",3.03,796590.9
DL,Delta Air Lines,2011,October,10,4,"253,652","757,600",2.99,799003.8
DL,Delta Air Lines,2011,November,11,4,"228,764","648,713",2.84,720606.6
DL,Delta Air Lines,2011,December,12,4,"238,893","697,571",2.92,752512.95
DL,Delta Air Lines,2012,January,1,1,"231,042","734,391",3.18,727782.3
DL,Delta Air Lines,2012,February,2,1,"218,206","708,611",3.25,687348.9
DL,Delta Air Lines,2012,March,3,1,"254,911","849,431",3.33,802969.65
DL,Delta Air Lines,2012,April,4,2,"246,848","845,485",3.43,777571.2
DL,Delta Air Lines,2012,May,5,2,"260,664","886,074",3.4,821091.6
DL,Delta Air Lines,2012,June,6,2,"278,870","944,851",3.39,878440.5
DL,Delta Air Lines,2012,July,7,3,"294,583","939,159",3.19,927936.45
DL,Delta Air Lines,2012,August,8,3,"290,979","919,313",3.16,916583.85
DL,Delta Air Lines,2012,September,9,3,"254,747","754,631",2.96,802453.05
DL,Delta Air Lines,2012,October,10,4,"254,487","853,989",3.36,801634.05
DL,Delta Air Lines,2012,November,11,4,"231,469","729,205",3.15,729127.35
DL,Delta Air Lines,2012,December,12,4,"240,242","772,886",3.22,756762.3
DL,Delta Air Lines,2013,January,1,1,"235,648","751,477",3.19,742291.2
DL,Delta Air Lines,2013,February,2,1,"216,422","692,825",3.2,681729.3
DL,Delta Air Lines,2013,March,3,1,"258,536","846,595",3.27,814388.4
DL,Delta Air Lines,2013,April,4,2,"254,412","797,744",3.14,801397.8
DL,Delta Air Lines,2013,May,5,2,"266,522","788,396",2.96,839544.3
DL,Delta Air Lines,2013,June,6,2,"286,753","872,671",3.04,903271.95
DL,Delta Air Lines,2013,July,7,3,"308,356","904,820",2.93,971321.4
DL,Delta Air Lines,2013,August,8,3,"303,465","892,654",2.94,955914.75
DL,Delta Air Lines,2013,September,9,3,"261,714","768,322",2.94,824399.1
DL,Delta Air Lines,2013,October,10,4,"263,650","787,032",2.99,830497.5
DL,Delta Air Lines,2013,November,11,4,"239,104","733,984",3.07,753177.6
DL,Delta Air Lines,2013,December,12,4,"253,992","774,886",3.05,800074.8
DL,Delta Air Lines,2014,January,1,1,"240,287","718,979",2.99,756904.05
DL,Delta Air Lines,2014,February,2,1,"215,608","641,427",2.97,679165.2
DL,Delta Air Lines,2014,March,3,1,"269,565","814,563",3.02,849129.75
DL,Delta Air Lines,2014,April,4,2,"260,527","753,885",2.89,820660.05
DL,Delta Air Lines,2014,May,5,2,"276,111","807,142",2.92,869749.65
DL,Delta Air Lines,2014,June,6,2,"298,228","859,291",2.88,939418.2
DL,Delta Air Lines,2014,July,7,3,"311,813","897,272",2.88,982210.95
